AWAY_TEAM,HOME_TEAM,WEEK,SLOT,NETWORK,QUAL_POINTS
ARZ,ATL,1,MON1,ESP,8
ARZ,ATL,1,MON2,ESP,8
ARZ,ATL,1,SUNN,NBC,8
ARZ,ATL,1,THUN,NBC,8
ARZ,ATL,2,MON1,ESP,8
ARZ,ATL,2,SUNN,NBC,8
ARZ,ATL,2,THUN,CBS,8
ARZ,ATL,3,MON1,ESP,8
ARZ,ATL,3,SUNN,NBC,8
ARZ,ATL,3,THUN,CBS,8
ARZ,ATL,4,MON1,ESP,8
ARZ,ATL,4,SUNN,NBC,8
ARZ,ATL,4,THUN,CBS,8
ARZ,ATL,5,MON1,ESP,8
ARZ,ATL,5,SUNN,NBC,8
ARZ,ATL,5,THUN,CBS,8
ARZ,ATL,6,MON1,ESP,8
ARZ,ATL,6,SUNN,NBC,8
ARZ,ATL,6,THUN,CBS,8
ARZ,ATL,7,MON1,ESP,8
ARZ,ATL,7,SUNN,NBC,8
ARZ,ATL,7,THUN,CBS,8
ARZ,ATL,8,MON1,ESP,8
ARZ,ATL,8,SUNN,NBC,8
ARZ,ATL,8,THUN,CBS,8
ARZ,ATL,9,MON1,ESP,8
ARZ,ATL,9,SUNN,NBC,8
ARZ,ATL,9,THUN,CBS,8
ARZ,ATL,10,MON1,ESP,8
ARZ,ATL,10,SUNN,NBC,8
ARZ,ATL,10,THUN,NFL,8
ARZ,ATL,11,MON1,ESP,8
ARZ,ATL,11,SUNN,NBC,8
ARZ,ATL,11,THUN,NFL,8
ARZ,ATL,12,MON1,ESP,8
ARZ,ATL,12,SUNN,NBC,8
ARZ,ATL,12,THUN,NBC,8
ARZ,ATL,13,MON1,ESP,8
ARZ,ATL,13,SUNN,NBC,8
ARZ,ATL,13,THUN,NFL,8
ARZ,ATL,14,MON1,ESP,8
ARZ,ATL,14,SUNN,NBC,8
ARZ,ATL,14,THUN,NFL,8
ARZ,ATL,15,MON1,ESP,8
ARZ,ATL,15,SUNN,NBC,8
ARZ,ATL,15,THUN,NFL,8
ARZ,ATL,16,MON1,ESP,8
ARZ,ATL,16,SATL,NFL,8
ARZ,ATL,16,SUNN,NBC,8
ARZ,ATL,16,THUN,NFL,8
ARZ,ATL,1,SUND,FOX,6
ARZ,ATL,2,SUND,FOX,6
ARZ,ATL,3,SUND,FOX,6
ARZ,ATL,4,SUND,FOX,6
ARZ,ATL,5,SUND,FOX,6
ARZ,ATL,6,SUND,FOX,6
ARZ,ATL,7,SUND,FOX,6
ARZ,ATL,8,SUND,FOX,6
ARZ,ATL,9,SUND,FOX,6
ARZ,ATL,10,SUND,FOX,6
ARZ,ATL,11,SUND,FOX,6
ARZ,ATL,12,SUND,FOX,6
ARZ,ATL,13,SUND,FOX,6
ARZ,ATL,14,SUND,FOX,6
ARZ,ATL,15,SUND,FOX,6
ARZ,ATL,16,SUND,FOX,6
ARZ,ATL,1,SUNE,FOX,4
ARZ,ATL,1,SUNL,FOX,4
ARZ,ATL,2,SUNE,FOX,4
ARZ,ATL,2,SUNL,FOX,4
ARZ,ATL,3,SUNE,FOX,4
ARZ,ATL,3,SUNL,FOX,4
ARZ,ATL,4,SUNE,FOX,4
ARZ,ATL,4,SUNL,FOX,4
ARZ,ATL,5,SUNE,FOX,4
ARZ,ATL,5,SUNL,FOX,4
ARZ,ATL,6,SUNE,FOX,4
ARZ,ATL,6,SUNL,FOX,4
ARZ,ATL,7,SUNE,FOX,4
ARZ,ATL,7,SUNL,FOX,4
ARZ,ATL,8,SUNE,FOX,4
ARZ,ATL,8,SUNL,FOX,4
ARZ,ATL,9,SUNE,FOX,4
ARZ,ATL,9,SUNL,FOX,4
ARZ,ATL,10,SUNE,FOX,4
ARZ,ATL,10,SUNL,FOX,4
ARZ,ATL,11,SUNE,FOX,4
ARZ,ATL,11,SUNL,FOX,4
ARZ,ATL,12,SUNE,FOX,4
ARZ,ATL,12,SUNL,FOX,4
ARZ,ATL,13,SUNE,FOX,4
ARZ,ATL,13,SUNL,FOX,4
ARZ,ATL,14,SUNE,FOX,4
ARZ,ATL,14,SUNL,FOX,4
ARZ,ATL,15,SUNE,FOX,4
ARZ,ATL,15,SUNL,FOX,4
ARZ,ATL,16,SUNE,FOX,4
ARZ,ATL,16,SUNL,FOX,4
ARZ,ATL,16,SATE,NFL,6
ARZ,GB,1,MON1,ESP,10
ARZ,GB,1,MON2,ESP,10
ARZ,GB,1,SUNN,NBC,10
ARZ,GB,1,THUN,NBC,10
ARZ,GB,2,MON1,ESP,10
ARZ,GB,2,SUNN,NBC,10
ARZ,GB,2,THUN,CBS,10
ARZ,GB,3,MON1,ESP,10
ARZ,GB,3,SUNN,NBC,10
ARZ,GB,3,THUN,CBS,10
ARZ,GB,4,MON1,ESP,10
ARZ,GB,4,SUNN,NBC,10
ARZ,GB,4,THUN,CBS,10
ARZ,GB,5,MON1,ESP,10
ARZ,GB,5,SUNN,NBC,10
ARZ,GB,5,THUN,CBS,10
ARZ,GB,6,MON1,ESP,10
ARZ,GB,6,SUNN,NBC,10
ARZ,GB,6,THUN,CBS,10
ARZ,GB,7,MON1,ESP,10
ARZ,GB,7,SUNN,NBC,10
ARZ,GB,7,THUN,CBS,10
ARZ,GB,8,MON1,ESP,10
ARZ,GB,8,SUNN,NBC,10
ARZ,GB,8,THUN,CBS,10
ARZ,GB,9,MON1,ESP,10
ARZ,GB,9,SUNN,NBC,10
ARZ,GB,9,THUN,CBS,10
ARZ,GB,10,MON1,ESP,10
ARZ,GB,10,SUNN,NBC,10
ARZ,GB,10,THUN,NFL,10
ARZ,GB,11,MON1,ESP,10
ARZ,GB,11,SUNN,NBC,10
ARZ,GB,11,THUN,NFL,10
ARZ,GB,12,MON1,ESP,10
ARZ,GB,12,SUNN,NBC,10
ARZ,GB,12,THUN,NBC,10
ARZ,GB,13,MON1,ESP,10
ARZ,GB,13,SUNN,NBC,10
ARZ,GB,13,THUN,NFL,10
ARZ,GB,14,MON1,ESP,10
ARZ,GB,14,SUNN,NBC,10
ARZ,GB,14,THUN,NFL,10
ARZ,GB,15,MON1,ESP,10
ARZ,GB,15,SUNN,NBC,10
ARZ,GB,15,THUN,NFL,10
ARZ,GB,16,MON1,ESP,10
ARZ,GB,16,SATL,NFL,10
ARZ,GB,16,SUNN,NBC,10
ARZ,GB,16,THUN,NFL,10
ARZ,GB,1,SUND,FOX,7.5
ARZ,GB,2,SUND,FOX,7.5
ARZ,GB,3,SUND,FOX,7.5
ARZ,GB,4,SUND,FOX,7.5
ARZ,GB,5,SUND,FOX,7.5
ARZ,GB,6,SUND,FOX,7.5
ARZ,GB,7,SUND,FOX,7.5
ARZ,GB,8,SUND,FOX,7.5
ARZ,GB,9,SUND,FOX,7.5
ARZ,GB,10,SUND,FOX,7.5
ARZ,GB,11,SUND,FOX,7.5
ARZ,GB,12,SUND,FOX,7.5
ARZ,GB,13,SUND,FOX,7.5
ARZ,GB,14,SUND,FOX,7.5
ARZ,GB,15,SUND,FOX,7.5
ARZ,GB,16,SUND,FOX,7.5
ARZ,GB,1,SUNE,FOX,5
ARZ,GB,1,SUNL,FOX,5
ARZ,GB,2,SUNE,FOX,5
ARZ,GB,2,SUNL,FOX,5
ARZ,GB,3,SUNE,FOX,5
ARZ,GB,3,SUNL,FOX,5
ARZ,GB,4,SUNE,FOX,5
ARZ,GB,4,SUNL,FOX,5
ARZ,GB,5,SUNE,FOX,5
ARZ,GB,5,SUNL,FOX,5
ARZ,GB,6,SUNE,FOX,5
ARZ,GB,6,SUNL,FOX,5
ARZ,GB,7,SUNE,FOX,5
ARZ,GB,7,SUNL,FOX,5
ARZ,GB,8,SUNE,FOX,5
ARZ,GB,8,SUNL,FOX,5
ARZ,GB,9,SUNE,FOX,5
ARZ,GB,9,SUNL,FOX,5
ARZ,GB,10,SUNE,FOX,5
ARZ,GB,10,SUNL,FOX,5
ARZ,GB,11,SUNE,FOX,5
ARZ,GB,11,SUNL,FOX,5
ARZ,GB,12,SUNE,FOX,5
ARZ,GB,12,SUNL,FOX,5
ARZ,GB,13,SUNE,FOX,5
ARZ,GB,13,SUNL,FOX,5
ARZ,GB,14,SUNE,FOX,5
ARZ,GB,14,SUNL,FOX,5
ARZ,GB,15,SUNE,FOX,5
ARZ,GB,15,SUNL,FOX,5
ARZ,GB,16,SUNE,FOX,5
ARZ,GB,16,SUNL,FOX,5
ARZ,GB,16,SATE,NFL,7.5
ARZ,KC,1,SUNE,FOX,2
ARZ,KC,1,SUNL,FOX,2
ARZ,KC,2,SUNE,FOX,2
ARZ,KC,2,SUNL,FOX,2
ARZ,KC,3,SUNE,FOX,2
ARZ,KC,3,SUNL,FOX,2
ARZ,KC,4,SUNE,FOX,2
ARZ,KC,4,SUNL,FOX,2
ARZ,KC,5,SUNE,FOX,2
ARZ,KC,5,SUNL,FOX,2
ARZ,KC,6,SUNE,FOX,2
ARZ,KC,6,SUNL,FOX,2
ARZ,KC,7,SUNE,FOX,2
ARZ,KC,7,SUNL,FOX,2
ARZ,KC,8,SUNE,FOX,2
ARZ,KC,8,SUNL,FOX,2
ARZ,KC,9,SUNE,FOX,2
ARZ,KC,9,SUNL,FOX,2
ARZ,KC,10,SUNE,FOX,2
ARZ,KC,10,SUNL,FOX,2
ARZ,KC,11,SUNE,FOX,2
ARZ,KC,11,SUNL,FOX,2
ARZ,KC,12,SUNE,FOX,2
ARZ,KC,12,SUNL,FOX,2
ARZ,KC,13,SUNE,FOX,2
ARZ,KC,13,SUNL,FOX,2
ARZ,KC,14,SUNE,FOX,2
ARZ,KC,14,SUNL,FOX,2
ARZ,KC,15,SUNE,FOX,2
ARZ,KC,15,SUNL,FOX,2
ARZ,KC,16,SUNE,FOX,2
ARZ,KC,16,SUNL,FOX,2
ARZ,LAC,1,SUNL,FOX,2
ARZ,LAC,2,SUNL,FOX,2
ARZ,LAC,3,SUNL,FOX,2
ARZ,LAC,4,SUNL,FOX,2
ARZ,LAC,5,SUNL,FOX,2
ARZ,LAC,6,SUNL,FOX,2
ARZ,LAC,7,SUNL,FOX,2
ARZ,LAC,8,SUNL,FOX,2
ARZ,LAC,9,SUNL,FOX,2
ARZ,LAC,10,SUNL,FOX,2
ARZ,LAC,11,SUNL,FOX,2
ARZ,LAC,12,SUNL,FOX,2
ARZ,LAC,13,SUNL,FOX,2
ARZ,LAC,14,SUNL,FOX,2
ARZ,LAC,15,SUNL,FOX,2
ARZ,LAC,16,SUNL,FOX,2
ARZ,LAR,1,SUNL,FOX,2
ARZ,LAR,2,SUNL,FOX,2
ARZ,LAR,3,SUNL,FOX,2
ARZ,LAR,4,SUNL,FOX,2
ARZ,LAR,5,SUNL,FOX,2
ARZ,LAR,6,SUNL,FOX,2
ARZ,LAR,7,SUNL,FOX,2
ARZ,LAR,8,SUNL,FOX,2
ARZ,LAR,9,SUNL,FOX,2
ARZ,LAR,10,SUNL,FOX,2
ARZ,LAR,11,SUNL,FOX,2
ARZ,LAR,12,SUNL,FOX,2
ARZ,LAR,13,SUNL,FOX,2
ARZ,LAR,14,SUNL,FOX,2
ARZ,LAR,15,SUNL,FOX,2
ARZ,LAR,16,SUNL,FOX,2
ARZ,LAR,17,SUNL,FOX,2
ARZ,MIN,1,SUND,FOX,4.5
ARZ,MIN,2,SUND,FOX,4.5
ARZ,MIN,3,SUND,FOX,4.5
ARZ,MIN,4,SUND,FOX,4.5
ARZ,MIN,5,SUND,FOX,4.5
ARZ,MIN,6,SUND,FOX,4.5
ARZ,MIN,7,SUND,FOX,4.5
ARZ,MIN,8,SUND,FOX,4.5
ARZ,MIN,9,SUND,FOX,4.5
ARZ,MIN,10,SUND,FOX,4.5
ARZ,MIN,11,SUND,FOX,4.5
ARZ,MIN,12,SUND,FOX,4.5
ARZ,MIN,13,SUND,FOX,4.5
ARZ,MIN,14,SUND,FOX,4.5
ARZ,MIN,15,SUND,FOX,4.5
ARZ,MIN,16,SUND,FOX,4.5
ARZ,MIN,1,SUNE,FOX,3
ARZ,MIN,1,SUNL,FOX,3
ARZ,MIN,2,SUNE,FOX,3
ARZ,MIN,2,SUNL,FOX,3
ARZ,MIN,3,SUNE,FOX,3
ARZ,MIN,3,SUNL,FOX,3
ARZ,MIN,4,SUNE,FOX,3
ARZ,MIN,4,SUNL,FOX,3
ARZ,MIN,5,SUNE,FOX,3
ARZ,MIN,5,SUNL,FOX,3
ARZ,MIN,6,SUNE,FOX,3
ARZ,MIN,6,SUNL,FOX,3
ARZ,MIN,7,SUNE,FOX,3
ARZ,MIN,7,SUNL,FOX,3
ARZ,MIN,8,SUNE,FOX,3
ARZ,MIN,8,SUNL,FOX,3
ARZ,MIN,9,SUNE,FOX,3
ARZ,MIN,9,SUNL,FOX,3
ARZ,MIN,10,SUNE,FOX,3
ARZ,MIN,10,SUNL,FOX,3
ARZ,MIN,11,SUNE,FOX,3
ARZ,MIN,11,SUNL,FOX,3
ARZ,MIN,12,SUNE,FOX,3
ARZ,MIN,12,SUNL,FOX,3
ARZ,MIN,13,SUNE,FOX,3
ARZ,MIN,13,SUNL,FOX,3
ARZ,MIN,14,SUNE,FOX,3
ARZ,MIN,14,SUNL,FOX,3
ARZ,MIN,15,SUNE,FOX,3
ARZ,MIN,15,SUNL,FOX,3
ARZ,MIN,16,SUNE,FOX,3
ARZ,MIN,16,SUNL,FOX,3
ARZ,MIN,16,SATE,NFL,4.5
ARZ,SEA,1,MON1,ESP,10
ARZ,SEA,1,MON2,ESP,10
ARZ,SEA,1,SUNN,NBC,10
ARZ,SEA,1,THUN,NBC,10
ARZ,SEA,2,MON1,ESP,10
ARZ,SEA,2,SUNN,NBC,10
ARZ,SEA,2,THUN,CBS,10
ARZ,SEA,3,MON1,ESP,10
ARZ,SEA,3,SUNN,NBC,10
ARZ,SEA,3,THUN,CBS,10
ARZ,SEA,4,MON1,ESP,10
ARZ,SEA,4,SUNN,NBC,10
ARZ,SEA,4,THUN,CBS,10
ARZ,SEA,5,MON1,ESP,10
ARZ,SEA,5,SUNN,NBC,10
ARZ,SEA,5,THUN,CBS,10
ARZ,SEA,6,MON1,ESP,10
ARZ,SEA,6,SUNN,NBC,10
ARZ,SEA,6,THUN,CBS,10
ARZ,SEA,7,MON1,ESP,10
ARZ,SEA,7,SUNN,NBC,10
ARZ,SEA,7,THUN,CBS,10
